Produto,Preco_str,Preco_num,Localidade,Descricao,Data_Coleta
Milho,"R$ 65,00",65.00,Uberlândia - MG,Preço do milho (bruto) por saca de 60kg,2025-06-06 20:33:06
Milho,"R$ 67,00",67.00,Uberlândia - MG,Preço do milho (bruto) por saca de 60kg,2025-06-06 20:33:06
Milho,"R$ 67,00",67.00,Uberlândia - MG,Preço do milho (bruto) por saca de 60kg,2025-06-06 20:33:06
Soja,"R$ 124,00",124.00,Uberlândia - MG,Preço da soja (bruto) por saca de 60kg,2025-06-06 20:33:06
Soja,"R$ 126,25",126.25,Uberlândia - MG,Preço da soja (bruto) por saca de 60kg,2025-06-06 20:33:06
Sorgo,"R$ 60,45",60.45,Uberlândia - MG,Preço do sorgo (bruto) por saca de 60kg,2025-06-06 20:33:06
Sorgo,"R$ 61,10",61.10,Nova Ponte - MG,Preço do sorgo (bruto) por saca de 60kg,2025-06-06 20:33:06
Sorgo,"R$ 61,10",61.10,Nova Ponte - MG,Preço do sorgo (bruto) por saca de 60kg,2025-06-06 20:33:06
